[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp06/train_20260128_133635_gpu1_pid3368715.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368715
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 1.0
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 1.0, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.01, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp06', 'ckpt_dir': 'checkpoints/M04b/exp6'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:36][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:36][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 13:39:13][INFO] [Epoch 001] Loss=0.133754 | PDE=0.000687 | λ_pde=1.000e+00 | LR=5.00e-03
[2026-01-28 13:41:50][INFO] [Epoch 002] Loss=0.099729 | PDE=0.003221 | λ_pde=9.900e-01 | LR=5.00e-03
[2026-01-28 13:44:25][INFO] [Epoch 003] Loss=0.095292 | PDE=0.007099 | λ_pde=9.802e-01 | LR=5.00e-03
[2026-01-28 13:46:59][INFO] [Epoch 004] Loss=0.102492 | PDE=0.008920 | λ_pde=9.704e-01 | LR=5.00e-03
[2026-01-28 13:49:35][INFO] [Epoch 005] Loss=0.087220 | PDE=0.002584 | λ_pde=9.608e-01 | LR=5.00e-03
[2026-01-28 13:52:10][INFO] [Epoch 006] Loss=0.087801 | PDE=0.004009 | λ_pde=9.512e-01 | LR=5.00e-03
[2026-01-28 13:54:45][INFO] [Epoch 007] Loss=0.084736 | PDE=0.003126 | λ_pde=9.418e-01 | LR=5.00e-03
[2026-01-28 13:57:22][INFO] [Epoch 008] Loss=0.083052 | PDE=0.004305 | λ_pde=9.324e-01 | LR=5.00e-03
[2026-01-28 13:59:58][INFO] [Epoch 009] Loss=0.090027 | PDE=0.008451 | λ_pde=9.231e-01 | LR=5.00e-03
[2026-01-28 14:02:33][INFO] [Epoch 010] Loss=0.084501 | PDE=0.001525 | λ_pde=9.139e-01 | LR=5.00e-03
[2026-01-28 14:05:11][INFO] [Epoch 011] Loss=0.080867 | PDE=0.002911 | λ_pde=9.048e-01 | LR=5.00e-03
[2026-01-28 14:07:43][INFO] [Epoch 012] Loss=0.081329 | PDE=0.003524 | λ_pde=8.958e-01 | LR=5.00e-03
[2026-01-28 14:10:19][INFO] [Epoch 013] Loss=0.079015 | PDE=0.001752 | λ_pde=8.869e-01 | LR=5.00e-03
[2026-01-28 14:12:54][INFO] [Epoch 014] Loss=0.081850 | PDE=0.005297 | λ_pde=8.781e-01 | LR=5.00e-03
[2026-01-28 14:15:32][INFO] [Epoch 015] Loss=0.079800 | PDE=0.002857 | λ_pde=8.694e-01 | LR=5.00e-03
[2026-01-28 14:18:08][INFO] [Epoch 016] Loss=0.078305 | PDE=0.002453 | λ_pde=8.607e-01 | LR=5.00e-03
[2026-01-28 14:20:44][INFO] [Epoch 017] Loss=0.077346 | PDE=0.001399 | λ_pde=8.521e-01 | LR=5.00e-03
[2026-01-28 14:23:20][INFO] [Epoch 018] Loss=0.087800 | PDE=0.006615 | λ_pde=8.437e-01 | LR=5.00e-03
[2026-01-28 14:25:57][INFO] [Epoch 019] Loss=0.077582 | PDE=0.000950 | λ_pde=8.353e-01 | LR=5.00e-03
[2026-01-28 14:28:33][INFO] [Epoch 020] Loss=0.078345 | PDE=0.002822 | λ_pde=8.270e-01 | LR=5.00e-03
[2026-01-28 14:31:06][INFO] [Epoch 021] Loss=0.076556 | PDE=0.001503 | λ_pde=8.187e-01 | LR=5.00e-03
[2026-01-28 14:33:42][INFO] [Epoch 022] Loss=0.079885 | PDE=0.004574 | λ_pde=8.106e-01 | LR=5.00e-03
[2026-01-28 14:36:19][INFO] [Epoch 023] Loss=0.083802 | PDE=0.006227 | λ_pde=8.025e-01 | LR=5.00e-03
[2026-01-28 14:38:55][INFO] [Epoch 024] Loss=0.080774 | PDE=0.002758 | λ_pde=7.945e-01 | LR=5.00e-03
[2026-01-28 14:41:30][INFO] [Epoch 025] Loss=0.078167 | PDE=0.003145 | λ_pde=7.866e-01 | LR=5.00e-03
[2026-01-28 14:44:06][INFO] [Epoch 026] Loss=0.076544 | PDE=0.002087 | λ_pde=7.788e-01 | LR=5.00e-03
[2026-01-28 14:46:41][INFO] [Epoch 027] Loss=0.077548 | PDE=0.002328 | λ_pde=7.711e-01 | LR=5.00e-03
[2026-01-28 14:49:17][INFO] [Epoch 028] Loss=0.075887 | PDE=0.000932 | λ_pde=7.634e-01 | LR=5.00e-03
[2026-01-28 14:51:52][INFO] [Epoch 029] Loss=0.077827 | PDE=0.003612 | λ_pde=7.558e-01 | LR=5.00e-03
[2026-01-28 14:54:30][INFO] [Epoch 030] Loss=0.075091 | PDE=0.001026 | λ_pde=7.483e-01 | LR=5.00e-03
[2026-01-28 14:57:07][INFO] [Epoch 031] Loss=0.076239 | PDE=0.001760 | λ_pde=7.408e-01 | LR=5.00e-03
[2026-01-28 14:59:42][INFO] [Epoch 032] Loss=0.075886 | PDE=0.001447 | λ_pde=7.334e-01 | LR=5.00e-03
[2026-01-28 15:02:17][INFO] [Epoch 033] Loss=0.078639 | PDE=0.002036 | λ_pde=7.261e-01 | LR=5.00e-03
[2026-01-28 15:04:54][INFO] [Epoch 034] Loss=0.084277 | PDE=0.007177 | λ_pde=7.189e-01 | LR=5.00e-03
[2026-01-28 15:07:33][INFO] [Epoch 035] Loss=0.077019 | PDE=0.002463 | λ_pde=7.118e-01 | LR=5.00e-03
[2026-01-28 15:10:08][INFO] [Epoch 036] Loss=0.079035 | PDE=0.001931 | λ_pde=7.047e-01 | LR=5.00e-03
[2026-01-28 15:12:44][INFO] [Epoch 037] Loss=0.077510 | PDE=0.004718 | λ_pde=6.977e-01 | LR=5.00e-03
[2026-01-28 15:15:18][INFO] [Epoch 038] Loss=0.075604 | PDE=0.002267 | λ_pde=6.907e-01 | LR=2.50e-03
[2026-01-28 15:17:53][INFO] [Epoch 039] Loss=0.073780 | PDE=0.000654 | λ_pde=6.839e-01 | LR=2.50e-03
[2026-01-28 15:20:27][INFO] [Epoch 040] Loss=0.073606 | PDE=0.000648 | λ_pde=6.771e-01 | LR=2.50e-03
[2026-01-28 15:23:00][INFO] [Epoch 041] Loss=0.073435 | PDE=0.000669 | λ_pde=6.703e-01 | LR=2.50e-03
[2026-01-28 15:25:35][INFO] [Epoch 042] Loss=0.073455 | PDE=0.000728 | λ_pde=6.637e-01 | LR=2.50e-03
[2026-01-28 15:28:13][INFO] [Epoch 043] Loss=0.073509 | PDE=0.000887 | λ_pde=6.570e-01 | LR=2.50e-03
[2026-01-28 15:30:46][INFO] [Epoch 044] Loss=0.073351 | PDE=0.000909 | λ_pde=6.505e-01 | LR=2.50e-03
[2026-01-28 15:33:19][INFO] [Epoch 045] Loss=0.073261 | PDE=0.000797 | λ_pde=6.440e-01 | LR=2.50e-03
[2026-01-28 15:35:54][INFO] [Epoch 046] Loss=0.073065 | PDE=0.001069 | λ_pde=6.376e-01 | LR=2.50e-03
[2026-01-28 15:38:28][INFO] [Epoch 047] Loss=0.073284 | PDE=0.001057 | λ_pde=6.313e-01 | LR=2.50e-03
