[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp04/train_20260128_133635_gpu4_pid3368701.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368701
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 2.0
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 2.0, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp04', 'ckpt_dir': 'checkpoints/M04b/exp04'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:36][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:36][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 13:39:13][INFO] [Epoch 001] Loss=0.148188 | PDE=0.000284 | λ_pde=2.000e+00 | LR=5.00e-03
[2026-01-28 13:41:50][INFO] [Epoch 002] Loss=0.104908 | PDE=0.001667 | λ_pde=1.941e+00 | LR=5.00e-03
[2026-01-28 13:44:23][INFO] [Epoch 003] Loss=0.100491 | PDE=0.003691 | λ_pde=1.884e+00 | LR=5.00e-03
[2026-01-28 13:46:59][INFO] [Epoch 004] Loss=0.094205 | PDE=0.002447 | λ_pde=1.828e+00 | LR=5.00e-03
[2026-01-28 13:49:33][INFO] [Epoch 005] Loss=0.097916 | PDE=0.003704 | λ_pde=1.774e+00 | LR=5.00e-03
[2026-01-28 13:52:06][INFO] [Epoch 006] Loss=0.091611 | PDE=0.002960 | λ_pde=1.721e+00 | LR=5.00e-03
[2026-01-28 13:54:43][INFO] [Epoch 007] Loss=0.092055 | PDE=0.003273 | λ_pde=1.671e+00 | LR=5.00e-03
[2026-01-28 13:57:19][INFO] [Epoch 008] Loss=0.084955 | PDE=0.001304 | λ_pde=1.621e+00 | LR=5.00e-03
[2026-01-28 13:59:54][INFO] [Epoch 009] Loss=0.091646 | PDE=0.003451 | λ_pde=1.573e+00 | LR=5.00e-03
[2026-01-28 14:02:32][INFO] [Epoch 010] Loss=0.086941 | PDE=0.001898 | λ_pde=1.527e+00 | LR=5.00e-03
[2026-01-28 14:05:10][INFO] [Epoch 011] Loss=0.084139 | PDE=0.003117 | λ_pde=1.482e+00 | LR=5.00e-03
[2026-01-28 14:07:44][INFO] [Epoch 012] Loss=0.082863 | PDE=0.001935 | λ_pde=1.438e+00 | LR=5.00e-03
