[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp03/train_20260128_133635_gpu3_pid3368694.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368694
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 1.0
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 1.0, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp03', 'ckpt_dir': 'checkpoints/M04b/exp03'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:36][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:36][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 13:39:12][INFO] [Epoch 001] Loss=0.129773 | PDE=0.000737 | λ_pde=1.000e+00 | LR=5.00e-03
[2026-01-28 13:41:49][INFO] [Epoch 002] Loss=0.100278 | PDE=0.004103 | λ_pde=9.704e-01 | LR=5.00e-03
[2026-01-28 13:44:22][INFO] [Epoch 003] Loss=0.095918 | PDE=0.006397 | λ_pde=9.418e-01 | LR=5.00e-03
[2026-01-28 13:46:59][INFO] [Epoch 004] Loss=0.093596 | PDE=0.006182 | λ_pde=9.139e-01 | LR=5.00e-03
[2026-01-28 13:49:34][INFO] [Epoch 005] Loss=0.086375 | PDE=0.004973 | λ_pde=8.869e-01 | LR=5.00e-03
[2026-01-28 13:52:07][INFO] [Epoch 006] Loss=0.085339 | PDE=0.003099 | λ_pde=8.607e-01 | LR=5.00e-03
[2026-01-28 13:54:45][INFO] [Epoch 007] Loss=0.091909 | PDE=0.003961 | λ_pde=8.353e-01 | LR=5.00e-03
[2026-01-28 13:57:21][INFO] [Epoch 008] Loss=0.085174 | PDE=0.004885 | λ_pde=8.106e-01 | LR=5.00e-03
[2026-01-28 13:59:57][INFO] [Epoch 009] Loss=0.093528 | PDE=0.012277 | λ_pde=7.866e-01 | LR=5.00e-03
[2026-01-28 14:02:36][INFO] [Epoch 010] Loss=0.087093 | PDE=0.004561 | λ_pde=7.634e-01 | LR=5.00e-03
[2026-01-28 14:05:11][INFO] [Epoch 011] Loss=0.083902 | PDE=0.003067 | λ_pde=7.408e-01 | LR=5.00e-03
[2026-01-28 14:07:47][INFO] [Epoch 012] Loss=0.081227 | PDE=0.002089 | λ_pde=7.189e-01 | LR=5.00e-03
[2026-01-28 14:10:23][INFO] [Epoch 013] Loss=0.079585 | PDE=0.002363 | λ_pde=6.977e-01 | LR=5.00e-03
[2026-01-28 14:12:57][INFO] [Epoch 014] Loss=0.080475 | PDE=0.003087 | λ_pde=6.771e-01 | LR=5.00e-03
[2026-01-28 14:15:34][INFO] [Epoch 015] Loss=0.077807 | PDE=0.003146 | λ_pde=6.570e-01 | LR=5.00e-03
[2026-01-28 14:18:08][INFO] [Epoch 016] Loss=0.077603 | PDE=0.002931 | λ_pde=6.376e-01 | LR=5.00e-03
[2026-01-28 14:20:41][INFO] [Epoch 017] Loss=0.078027 | PDE=0.003463 | λ_pde=6.188e-01 | LR=5.00e-03
[2026-01-28 14:23:21][INFO] [Epoch 018] Loss=0.079544 | PDE=0.003369 | λ_pde=6.005e-01 | LR=5.00e-03
[2026-01-28 14:25:56][INFO] [Epoch 019] Loss=0.077434 | PDE=0.002551 | λ_pde=5.827e-01 | LR=5.00e-03
[2026-01-28 14:28:31][INFO] [Epoch 020] Loss=0.078177 | PDE=0.004378 | λ_pde=5.655e-01 | LR=5.00e-03
[2026-01-28 14:31:06][INFO] [Epoch 021] Loss=0.075456 | PDE=0.001588 | λ_pde=5.488e-01 | LR=5.00e-03
[2026-01-28 14:33:42][INFO] [Epoch 022] Loss=0.077113 | PDE=0.003058 | λ_pde=5.326e-01 | LR=5.00e-03
[2026-01-28 14:36:21][INFO] [Epoch 023] Loss=0.077135 | PDE=0.003164 | λ_pde=5.169e-01 | LR=5.00e-03
[2026-01-28 14:38:59][INFO] [Epoch 024] Loss=0.076427 | PDE=0.003381 | λ_pde=5.016e-01 | LR=5.00e-03
[2026-01-28 14:41:33][INFO] [Epoch 025] Loss=0.076086 | PDE=0.004813 | λ_pde=4.868e-01 | LR=5.00e-03
[2026-01-28 14:44:07][INFO] [Epoch 026] Loss=0.076017 | PDE=0.003270 | λ_pde=4.724e-01 | LR=5.00e-03
[2026-01-28 14:46:43][INFO] [Epoch 027] Loss=0.079187 | PDE=0.003524 | λ_pde=4.584e-01 | LR=5.00e-03
[2026-01-28 14:49:18][INFO] [Epoch 028] Loss=0.073754 | PDE=0.001660 | λ_pde=4.449e-01 | LR=5.00e-03
[2026-01-28 14:51:54][INFO] [Epoch 029] Loss=0.075245 | PDE=0.004134 | λ_pde=4.317e-01 | LR=5.00e-03
[2026-01-28 14:54:29][INFO] [Epoch 030] Loss=0.074708 | PDE=0.002322 | λ_pde=4.190e-01 | LR=5.00e-03
[2026-01-28 14:57:05][INFO] [Epoch 031] Loss=0.074823 | PDE=0.003308 | λ_pde=4.066e-01 | LR=5.00e-03
[2026-01-28 14:59:42][INFO] [Epoch 032] Loss=0.074964 | PDE=0.005444 | λ_pde=3.946e-01 | LR=5.00e-03
[2026-01-28 15:02:16][INFO] [Epoch 033] Loss=0.074475 | PDE=0.003927 | λ_pde=3.829e-01 | LR=5.00e-03
[2026-01-28 15:04:52][INFO] [Epoch 034] Loss=0.075320 | PDE=0.004349 | λ_pde=3.716e-01 | LR=5.00e-03
[2026-01-28 15:07:30][INFO] [Epoch 035] Loss=0.073463 | PDE=0.002679 | λ_pde=3.606e-01 | LR=5.00e-03
[2026-01-28 15:10:04][INFO] [Epoch 036] Loss=0.073960 | PDE=0.003287 | λ_pde=3.499e-01 | LR=5.00e-03
[2026-01-28 15:12:41][INFO] [Epoch 037] Loss=0.076368 | PDE=0.007752 | λ_pde=3.396e-01 | LR=5.00e-03
[2026-01-28 15:15:12][INFO] [Epoch 038] Loss=0.073543 | PDE=0.002904 | λ_pde=3.296e-01 | LR=5.00e-03
[2026-01-28 15:17:48][INFO] [Epoch 039] Loss=0.073511 | PDE=0.003088 | λ_pde=3.198e-01 | LR=5.00e-03
[2026-01-28 15:20:24][INFO] [Epoch 040] Loss=0.073477 | PDE=0.003920 | λ_pde=3.104e-01 | LR=5.00e-03
[2026-01-28 15:22:58][INFO] [Epoch 041] Loss=0.076661 | PDE=0.008660 | λ_pde=3.012e-01 | LR=5.00e-03
[2026-01-28 15:25:35][INFO] [Epoch 042] Loss=0.073018 | PDE=0.004578 | λ_pde=2.923e-01 | LR=5.00e-03
[2026-01-28 15:28:15][INFO] [Epoch 043] Loss=0.072297 | PDE=0.004057 | λ_pde=2.837e-01 | LR=5.00e-03
[2026-01-28 15:30:51][INFO] [Epoch 044] Loss=0.072490 | PDE=0.003551 | λ_pde=2.753e-01 | LR=5.00e-03
[2026-01-28 15:33:27][INFO] [Epoch 045] Loss=0.072884 | PDE=0.003910 | λ_pde=2.671e-01 | LR=5.00e-03
[2026-01-28 15:36:05][INFO] [Epoch 046] Loss=0.077332 | PDE=0.014332 | λ_pde=2.592e-01 | LR=5.00e-03
[2026-01-28 15:38:39][INFO] [Epoch 047] Loss=0.076245 | PDE=0.011195 | λ_pde=2.516e-01 | LR=5.00e-03
[2026-01-28 15:41:12][INFO] [Epoch 048] Loss=0.072093 | PDE=0.003323 | λ_pde=2.441e-01 | LR=5.00e-03
[2026-01-28 15:43:49][INFO] [Epoch 049] Loss=0.074648 | PDE=0.004406 | λ_pde=2.369e-01 | LR=5.00e-03
[2026-01-28 15:46:24][INFO] [Epoch 050] Loss=0.072787 | PDE=0.005579 | λ_pde=2.299e-01 | LR=5.00e-03
[2026-01-28 15:49:02][INFO] [Epoch 051] Loss=0.074053 | PDE=0.011199 | λ_pde=2.231e-01 | LR=5.00e-03
[2026-01-28 15:51:36][INFO] [Epoch 052] Loss=0.071848 | PDE=0.004122 | λ_pde=2.165e-01 | LR=5.00e-03
[2026-01-28 15:54:11][INFO] [Epoch 053] Loss=0.071249 | PDE=0.003608 | λ_pde=2.101e-01 | LR=5.00e-03
[2026-01-28 15:56:47][INFO] [Epoch 054] Loss=0.071655 | PDE=0.006346 | λ_pde=2.039e-01 | LR=5.00e-03
[2026-01-28 15:59:21][INFO] [Epoch 055] Loss=0.073123 | PDE=0.007386 | λ_pde=1.979e-01 | LR=5.00e-03
