[2026-01-26 18:18:22][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04/exp07/train_20260126_181822_gpu2_pid3585890.log
[2026-01-26 18:18:22][INFO] 进程 PID: 3585890
[2026-01-26 18:18:22][INFO] ========== PINN 训练开始 ==========
[2026-01-26 18:18:22][INFO] 物理项权重 λ_pde = 1.5
[2026-01-26 18:18:22][INFO] 使用设备: cuda
[2026-01-26 18:18:22][INFO] 训练参数: {'lambda_pde': 1.5, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'points_per_case': 600000, 'num_workers': 8, 'device': 'cuda', 'log_dir': 'logs/M04/exp07', 'ckpt_dir': 'checkpoints/M04/exp07'}
[2026-01-26 18:18:22][INFO] 数据集大小: 141 cases
[2026-01-26 18:18:22][INFO] 每 case 采样点数: 600000
[2026-01-26 18:18:27][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-26 18:18:27][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=10)
[2026-01-26 18:22:37][INFO] [Epoch 001] MSE Loss = 21316.507970 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:26:44][INFO] [Epoch 002] MSE Loss = 1858.043421 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:30:50][INFO] [Epoch 003] MSE Loss = 705.057547 | PDE LOSS = 4.890074 |  LR = 5.00e-03
[2026-01-26 18:34:55][INFO] [Epoch 004] MSE Loss = 554.333958 | PDE LOSS = 3.541442 |  LR = 5.00e-03
[2026-01-26 18:38:57][INFO] [Epoch 005] MSE Loss = 456.011584 | PDE LOSS = 3.232949 |  LR = 5.00e-03
[2026-01-26 18:42:59][INFO] [Epoch 006] MSE Loss = 459.500801 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:46:59][INFO] [Epoch 007] MSE Loss = 426.990994 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:50:59][INFO] [Epoch 008] MSE Loss = 421.865639 | PDE LOSS = 1.556476 |  LR = 5.00e-03
[2026-01-26 18:55:00][INFO] [Epoch 009] MSE Loss = 417.706090 | PDE LOSS = 3.133684 |  LR = 5.00e-03
[2026-01-26 18:59:07][INFO] [Epoch 010] MSE Loss = 420.529448 | PDE LOSS = 3.099354 |  LR = 5.00e-03
[2026-01-26 19:03:12][INFO] [Epoch 011] MSE Loss = 423.486193 | PDE LOSS = 4.324140 |  LR = 5.00e-03
[2026-01-26 19:07:19][INFO] [Epoch 012] MSE Loss = 413.683551 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:11:23][INFO] [Epoch 013] MSE Loss = 399.191007 | PDE LOSS = 2.838070 |  LR = 5.00e-03
[2026-01-26 19:15:27][INFO] [Epoch 014] MSE Loss = 424.664408 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:19:30][INFO] [Epoch 015] MSE Loss = 388.191013 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:23:32][INFO] [Epoch 016] MSE Loss = 415.951220 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:27:35][INFO] [Epoch 017] MSE Loss = 403.266985 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:31:37][INFO] [Epoch 018] MSE Loss = 386.355886 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:35:41][INFO] [Epoch 019] MSE Loss = 356.856661 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:39:48][INFO] [Epoch 020] MSE Loss = 347.644716 | PDE LOSS = 7.363017 |  LR = 5.00e-03
[2026-01-26 19:43:53][INFO] [Epoch 021] MSE Loss = 366.025096 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:47:54][INFO] [Epoch 022] MSE Loss = 355.044097 | PDE LOSS = 3.199140 |  LR = 5.00e-03
[2026-01-26 19:51:57][INFO] [Epoch 023] MSE Loss = 340.337728 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:55:59][INFO] [Epoch 024] MSE Loss = 337.750010 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:00:00][INFO] [Epoch 025] MSE Loss = 338.347577 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:04:05][INFO] [Epoch 026] MSE Loss = 341.908096 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:08:10][INFO] [Epoch 027] MSE Loss = 344.551621 | PDE LOSS = 3.825764 |  LR = 5.00e-03
[2026-01-26 20:12:08][INFO] [Epoch 028] MSE Loss = 337.608004 | PDE LOSS = 3.601681 |  LR = 5.00e-03
[2026-01-26 20:16:08][INFO] [Epoch 029] MSE Loss = 344.084106 | PDE LOSS = 4.369311 |  LR = 5.00e-03
[2026-01-26 20:20:10][INFO] [Epoch 030] MSE Loss = 390.202334 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:24:12][INFO] [Epoch 031] MSE Loss = 328.414938 | PDE LOSS = 11.481149 |  LR = 5.00e-03
[2026-01-26 20:28:19][INFO] [Epoch 032] MSE Loss = 342.604145 | PDE LOSS = 4.057060 |  LR = 5.00e-03
[2026-01-26 20:32:26][INFO] [Epoch 033] MSE Loss = 341.140273 | PDE LOSS = 8.013917 |  LR = 5.00e-03
[2026-01-26 20:36:32][INFO] [Epoch 034] MSE Loss = 321.698240 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:40:32][INFO] [Epoch 035] MSE Loss = 334.174677 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:44:36][INFO] [Epoch 036] MSE Loss = 329.221098 | PDE LOSS = 0.000000 |  LR = 5.00e-03
