[2026-01-29 10:29:50][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp03/train_20260129_102950_gpu3_pid1035492.log
[2026-01-29 10:29:50][INFO] 进程 PID: 1035492
[2026-01-29 10:29:50][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:50][INFO] 物理项权重 λ_pde = 1.0
[2026-01-29 10:29:50][INFO] 使用设备: cuda
[2026-01-29 10:29:50][INFO] 训练参数: {'lambda_pde': 1.0, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp03', 'ckpt_dir': 'checkpoints/M04c/exp03'}
[2026-01-29 10:29:50][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:50][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:51][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:51][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 10:32:05][INFO] [Epoch 001] MSE Loss=21815.939357 | PDE Loss=5.670225 | λ_pde=1.000e+00 | LR=5.00e-03
[2026-01-29 10:34:20][INFO] [Epoch 002] MSE Loss=907.783816 | PDE Loss=2.825881 | λ_pde=9.704e-01 | LR=5.00e-03
[2026-01-29 10:36:34][INFO] [Epoch 003] MSE Loss=867.123878 | PDE Loss=1.306426 | λ_pde=9.418e-01 | LR=5.00e-03
[2026-01-29 10:38:52][INFO] [Epoch 004] MSE Loss=820.038087 | PDE Loss=1.014744 | λ_pde=9.139e-01 | LR=5.00e-03
[2026-01-29 10:41:06][INFO] [Epoch 005] MSE Loss=833.318518 | PDE Loss=1.367410 | λ_pde=8.869e-01 | LR=5.00e-03
[2026-01-29 10:43:22][INFO] [Epoch 006] MSE Loss=782.060867 | PDE Loss=1.795159 | λ_pde=8.607e-01 | LR=5.00e-03
[2026-01-29 10:45:39][INFO] [Epoch 007] MSE Loss=800.452320 | PDE Loss=1.994710 | λ_pde=8.353e-01 | LR=5.00e-03
[2026-01-29 10:47:55][INFO] [Epoch 008] MSE Loss=835.792410 | PDE Loss=2.177592 | λ_pde=8.106e-01 | LR=5.00e-03
[2026-01-29 10:50:09][INFO] [Epoch 009] MSE Loss=857.048115 | PDE Loss=2.364179 | λ_pde=7.866e-01 | LR=5.00e-03
[2026-01-29 10:52:25][INFO] [Epoch 010] MSE Loss=837.293739 | PDE Loss=2.477148 | λ_pde=7.634e-01 | LR=5.00e-03
[2026-01-29 10:54:42][INFO] [Epoch 011] MSE Loss=804.417675 | PDE Loss=2.938208 | λ_pde=7.408e-01 | LR=5.00e-03
[2026-01-29 10:56:58][INFO] [Epoch 012] MSE Loss=821.904531 | PDE Loss=3.278016 | λ_pde=7.189e-01 | LR=5.00e-03
[2026-01-29 10:59:11][INFO] [Epoch 013] MSE Loss=769.573629 | PDE Loss=4.112185 | λ_pde=6.977e-01 | LR=5.00e-03
[2026-01-29 11:01:26][INFO] [Epoch 014] MSE Loss=753.330518 | PDE Loss=5.015127 | λ_pde=6.771e-01 | LR=5.00e-03
[2026-01-29 11:03:42][INFO] [Epoch 015] MSE Loss=784.116227 | PDE Loss=5.051421 | λ_pde=6.570e-01 | LR=5.00e-03
[2026-01-29 11:05:59][INFO] [Epoch 016] MSE Loss=821.924808 | PDE Loss=5.492131 | λ_pde=6.376e-01 | LR=5.00e-03
