[2026-01-26 18:18:22][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04/exp06/train_20260126_181822_gpu1_pid3585880.log
[2026-01-26 18:18:22][INFO] 进程 PID: 3585880
[2026-01-26 18:18:22][INFO] ========== PINN 训练开始 ==========
[2026-01-26 18:18:22][INFO] 物理项权重 λ_pde = 1.2
[2026-01-26 18:18:22][INFO] 使用设备: cuda
[2026-01-26 18:18:22][INFO] 训练参数: {'lambda_pde': 1.2, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'points_per_case': 600000, 'num_workers': 8, 'device': 'cuda', 'log_dir': 'logs/M04/exp06', 'ckpt_dir': 'checkpoints/M04/exp06'}
[2026-01-26 18:18:22][INFO] 数据集大小: 141 cases
[2026-01-26 18:18:22][INFO] 每 case 采样点数: 600000
[2026-01-26 18:18:26][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-26 18:18:26][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=10)
[2026-01-26 18:22:36][INFO] [Epoch 001] MSE Loss = 19413.635108 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:26:42][INFO] [Epoch 002] MSE Loss = 1196.375355 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:30:48][INFO] [Epoch 003] MSE Loss = 605.401353 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:34:54][INFO] [Epoch 004] MSE Loss = 530.097184 | PDE LOSS = 2.439641 |  LR = 5.00e-03
[2026-01-26 18:39:01][INFO] [Epoch 005] MSE Loss = 540.736103 | PDE LOSS = 1.915641 |  LR = 5.00e-03
[2026-01-26 18:43:05][INFO] [Epoch 006] MSE Loss = 486.079970 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:47:10][INFO] [Epoch 007] MSE Loss = 469.320525 | PDE LOSS = 1.755120 |  LR = 5.00e-03
[2026-01-26 18:51:10][INFO] [Epoch 008] MSE Loss = 443.261529 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:55:13][INFO] [Epoch 009] MSE Loss = 445.671083 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:59:15][INFO] [Epoch 010] MSE Loss = 435.096298 | PDE LOSS = 3.126218 |  LR = 5.00e-03
[2026-01-26 19:03:20][INFO] [Epoch 011] MSE Loss = 422.303952 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:07:19][INFO] [Epoch 012] MSE Loss = 424.843986 | PDE LOSS = 2.071330 |  LR = 5.00e-03
[2026-01-26 19:11:27][INFO] [Epoch 013] MSE Loss = 445.444213 | PDE LOSS = 2.273444 |  LR = 5.00e-03
[2026-01-26 19:15:30][INFO] [Epoch 014] MSE Loss = 434.208323 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:19:31][INFO] [Epoch 015] MSE Loss = 406.862318 | PDE LOSS = 3.482030 |  LR = 5.00e-03
[2026-01-26 19:23:32][INFO] [Epoch 016] MSE Loss = 402.233191 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:27:35][INFO] [Epoch 017] MSE Loss = 394.979879 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:31:35][INFO] [Epoch 018] MSE Loss = 382.901114 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:35:38][INFO] [Epoch 019] MSE Loss = 425.352771 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:39:48][INFO] [Epoch 020] MSE Loss = 366.356464 | PDE LOSS = 9.873734 |  LR = 5.00e-03
[2026-01-26 19:43:47][INFO] [Epoch 021] MSE Loss = 351.896579 | PDE LOSS = 5.703349 |  LR = 5.00e-03
[2026-01-26 19:47:54][INFO] [Epoch 022] MSE Loss = 351.808423 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:51:57][INFO] [Epoch 023] MSE Loss = 368.662225 | PDE LOSS = 19.268007 |  LR = 5.00e-03
[2026-01-26 19:56:02][INFO] [Epoch 024] MSE Loss = 352.951165 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:00:07][INFO] [Epoch 025] MSE Loss = 347.936515 | PDE LOSS = 25.682558 |  LR = 5.00e-03
[2026-01-26 20:04:11][INFO] [Epoch 026] MSE Loss = 367.798543 | PDE LOSS = 5.972189 |  LR = 5.00e-03
[2026-01-26 20:08:16][INFO] [Epoch 027] MSE Loss = 424.301654 | PDE LOSS = 5.053121 |  LR = 5.00e-03
[2026-01-26 20:12:19][INFO] [Epoch 028] MSE Loss = 338.482701 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:16:24][INFO] [Epoch 029] MSE Loss = 328.945084 | PDE LOSS = 10.486810 |  LR = 5.00e-03
[2026-01-26 20:20:27][INFO] [Epoch 030] MSE Loss = 328.288515 | PDE LOSS = 5.655130 |  LR = 5.00e-03
[2026-01-26 20:24:27][INFO] [Epoch 031] MSE Loss = 334.216864 | PDE LOSS = 11.415522 |  LR = 5.00e-03
[2026-01-26 20:28:32][INFO] [Epoch 032] MSE Loss = 326.642590 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:32:38][INFO] [Epoch 033] MSE Loss = 383.341713 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:36:44][INFO] [Epoch 034] MSE Loss = 329.478842 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:40:48][INFO] [Epoch 035] MSE Loss = 336.354072 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:44:50][INFO] [Epoch 036] MSE Loss = 331.282666 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:48:53][INFO] [Epoch 037] MSE Loss = 360.849076 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 20:52:58][INFO] [Epoch 038] MSE Loss = 319.909420 | PDE LOSS = 3.779320 |  LR = 5.00e-03
[2026-01-26 20:56:59][INFO] [Epoch 039] MSE Loss = 351.709379 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 21:00:58][INFO] [Epoch 040] MSE Loss = 347.716313 | PDE LOSS = 33.019974 |  LR = 5.00e-03
[2026-01-26 21:05:01][INFO] [Epoch 041] MSE Loss = 313.601220 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 21:08:59][INFO] [Epoch 042] MSE Loss = 308.430468 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 21:13:03][INFO] [Epoch 043] MSE Loss = 311.142521 | PDE LOSS = 4.735813 |  LR = 5.00e-03
[2026-01-26 21:17:09][INFO] [Epoch 044] MSE Loss = 309.721890 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 21:21:15][INFO] [Epoch 045] MSE Loss = 306.231384 | PDE LOSS = 0.000000 |  LR = 5.00e-03
