[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp01/train_20260128_133635_gpu1_pid3368680.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368680
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 0.1
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 0.1, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp01', 'ckpt_dir': 'checkpoints/M04b/exp01'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:35][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:35][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 15:10:08][INFO] [Epoch 036] Loss=0.068059 | PDE=0.049878 | λ_pde=3.499e-02 | LR=5.00e-03
[2026-01-28 15:12:45][INFO] [Epoch 037] Loss=0.067397 | PDE=0.050250 | λ_pde=3.396e-02 | LR=5.00e-03
[2026-01-28 15:15:19][INFO] [Epoch 038] Loss=0.068043 | PDE=0.055851 | λ_pde=3.296e-02 | LR=5.00e-03
[2026-01-28 15:17:55][INFO] [Epoch 039] Loss=0.069192 | PDE=0.065904 | λ_pde=3.198e-02 | LR=5.00e-03
[2026-01-28 15:20:30][INFO] [Epoch 040] Loss=0.066936 | PDE=0.057550 | λ_pde=3.104e-02 | LR=5.00e-03
[2026-01-28 15:23:04][INFO] [Epoch 041] Loss=0.067394 | PDE=0.067996 | λ_pde=3.012e-02 | LR=5.00e-03
[2026-01-28 15:25:38][INFO] [Epoch 042] Loss=0.067457 | PDE=0.065038 | λ_pde=2.923e-02 | LR=5.00e-03
[2026-01-28 15:28:16][INFO] [Epoch 043] Loss=0.066631 | PDE=0.063089 | λ_pde=2.837e-02 | LR=5.00e-03
[2026-01-28 15:30:51][INFO] [Epoch 044] Loss=0.067313 | PDE=0.071619 | λ_pde=2.753e-02 | LR=5.00e-03
[2026-01-28 15:33:24][INFO] [Epoch 045] Loss=0.066335 | PDE=0.068653 | λ_pde=2.671e-02 | LR=5.00e-03
[2026-01-28 15:36:03][INFO] [Epoch 046] Loss=0.067280 | PDE=0.077052 | λ_pde=2.592e-02 | LR=5.00e-03
[2026-01-28 15:38:39][INFO] [Epoch 047] Loss=0.066286 | PDE=0.078081 | λ_pde=2.516e-02 | LR=5.00e-03
[2026-01-28 15:41:14][INFO] [Epoch 048] Loss=0.065818 | PDE=0.079017 | λ_pde=2.441e-02 | LR=5.00e-03
[2026-01-28 15:43:51][INFO] [Epoch 049] Loss=0.066016 | PDE=0.088346 | λ_pde=2.369e-02 | LR=5.00e-03
[2026-01-28 15:46:24][INFO] [Epoch 050] Loss=0.066977 | PDE=0.098271 | λ_pde=2.299e-02 | LR=5.00e-03
[2026-01-28 15:49:00][INFO] [Epoch 051] Loss=0.066276 | PDE=0.091523 | λ_pde=2.231e-02 | LR=5.00e-03
[2026-01-28 15:51:36][INFO] [Epoch 052] Loss=0.066055 | PDE=0.095337 | λ_pde=2.165e-02 | LR=5.00e-03
[2026-01-28 15:54:12][INFO] [Epoch 053] Loss=0.066371 | PDE=0.110740 | λ_pde=2.101e-02 | LR=5.00e-03
[2026-01-28 15:56:48][INFO] [Epoch 054] Loss=0.065476 | PDE=0.097010 | λ_pde=2.039e-02 | LR=5.00e-03
[2026-01-28 15:59:21][INFO] [Epoch 055] Loss=0.065915 | PDE=0.107226 | λ_pde=1.979e-02 | LR=5.00e-03
[2026-01-28 16:01:57][INFO] [Epoch 056] Loss=0.065389 | PDE=0.116459 | λ_pde=1.920e-02 | LR=5.00e-03
[2026-01-28 16:04:31][INFO] [Epoch 057] Loss=0.065385 | PDE=0.111814 | λ_pde=1.864e-02 | LR=5.00e-03
[2026-01-28 16:07:06][INFO] [Epoch 058] Loss=0.065611 | PDE=0.120784 | λ_pde=1.809e-02 | LR=5.00e-03
[2026-01-28 16:09:42][INFO] [Epoch 059] Loss=0.066146 | PDE=0.130984 | λ_pde=1.755e-02 | LR=5.00e-03
[2026-01-28 16:12:18][INFO] [Epoch 060] Loss=0.065235 | PDE=0.127132 | λ_pde=1.703e-02 | LR=5.00e-03
[2026-01-28 16:14:52][INFO] [Epoch 061] Loss=0.065365 | PDE=0.133422 | λ_pde=1.653e-02 | LR=5.00e-03
[2026-01-28 16:17:27][INFO] [Epoch 062] Loss=0.065072 | PDE=0.138410 | λ_pde=1.604e-02 | LR=5.00e-03
[2026-01-28 16:20:00][INFO] [Epoch 063] Loss=0.064438 | PDE=0.138544 | λ_pde=1.557e-02 | LR=5.00e-03
