[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp07/train_20260129_102951_gpu2_pid1035520.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035520
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 1.0
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 1.0, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp07', 'ckpt_dir': 'checkpoints/M04c/exp07'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 10:32:08][INFO] [Epoch 001] MSE Loss=22046.671001 | PDE Loss=12.134682 | λ_pde=1.000e+00 | LR=5.00e-03
[2026-01-29 10:34:23][INFO] [Epoch 002] MSE Loss=907.075499 | PDE Loss=4.510909 | λ_pde=9.704e-01 | LR=5.00e-03
[2026-01-29 10:36:36][INFO] [Epoch 003] MSE Loss=832.702290 | PDE Loss=2.517420 | λ_pde=9.418e-01 | LR=5.00e-03
[2026-01-29 10:38:54][INFO] [Epoch 004] MSE Loss=810.422166 | PDE Loss=2.105186 | λ_pde=9.139e-01 | LR=5.00e-03
[2026-01-29 10:41:10][INFO] [Epoch 005] MSE Loss=824.352360 | PDE Loss=2.368036 | λ_pde=8.869e-01 | LR=5.00e-03
[2026-01-29 10:43:25][INFO] [Epoch 006] MSE Loss=840.090578 | PDE Loss=2.779727 | λ_pde=8.607e-01 | LR=5.00e-03
[2026-01-29 10:45:40][INFO] [Epoch 007] MSE Loss=781.564887 | PDE Loss=2.906711 | λ_pde=8.353e-01 | LR=5.00e-03
[2026-01-29 10:47:56][INFO] [Epoch 008] MSE Loss=852.359985 | PDE Loss=2.754241 | λ_pde=8.106e-01 | LR=5.00e-03
[2026-01-29 10:50:08][INFO] [Epoch 009] MSE Loss=820.948966 | PDE Loss=2.747682 | λ_pde=7.866e-01 | LR=5.00e-03
[2026-01-29 10:52:22][INFO] [Epoch 010] MSE Loss=804.150552 | PDE Loss=3.061155 | λ_pde=7.634e-01 | LR=5.00e-03
[2026-01-29 10:54:37][INFO] [Epoch 011] MSE Loss=810.035406 | PDE Loss=3.528372 | λ_pde=7.408e-01 | LR=5.00e-03
