[2026-01-26 18:18:22][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04/exp02/train_20260126_181822_gpu2_pid3585854.log
[2026-01-26 18:18:22][INFO] 进程 PID: 3585854
[2026-01-26 18:18:22][INFO] ========== PINN 训练开始 ==========
[2026-01-26 18:18:22][INFO] 物理项权重 λ_pde = 0.2
[2026-01-26 18:18:22][INFO] 使用设备: cuda
[2026-01-26 18:18:22][INFO] 训练参数: {'lambda_pde': 0.2, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'points_per_case': 600000, 'num_workers': 8, 'device': 'cuda', 'log_dir': 'logs/M04/exp02', 'ckpt_dir': 'checkpoints/M04/exp02'}
[2026-01-26 18:18:22][INFO] 数据集大小: 141 cases
[2026-01-26 18:18:22][INFO] 每 case 采样点数: 600000
[2026-01-26 18:18:26][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-26 18:18:26][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=10)
[2026-01-26 18:22:37][INFO] [Epoch 001] MSE Loss = 19846.393369 | PDE LOSS = 13.521315 |  LR = 5.00e-03
[2026-01-26 18:26:42][INFO] [Epoch 002] MSE Loss = 1182.156657 | PDE LOSS = 29.712523 |  LR = 5.00e-03
[2026-01-26 18:30:49][INFO] [Epoch 003] MSE Loss = 635.842088 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:34:55][INFO] [Epoch 004] MSE Loss = 493.986242 | PDE LOSS = 12.794457 |  LR = 5.00e-03
[2026-01-26 18:38:56][INFO] [Epoch 005] MSE Loss = 463.904286 | PDE LOSS = 17.043457 |  LR = 5.00e-03
[2026-01-26 18:42:59][INFO] [Epoch 006] MSE Loss = 438.270182 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:46:56][INFO] [Epoch 007] MSE Loss = 427.786793 | PDE LOSS = 11.399093 |  LR = 5.00e-03
[2026-01-26 18:51:00][INFO] [Epoch 008] MSE Loss = 409.784006 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:55:02][INFO] [Epoch 009] MSE Loss = 416.779245 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 18:59:05][INFO] [Epoch 010] MSE Loss = 400.424858 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:03:12][INFO] [Epoch 011] MSE Loss = 402.339899 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:07:14][INFO] [Epoch 012] MSE Loss = 377.061146 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:11:18][INFO] [Epoch 013] MSE Loss = 375.372747 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:15:26][INFO] [Epoch 014] MSE Loss = 366.103065 | PDE LOSS = 80.145386 |  LR = 5.00e-03
[2026-01-26 19:19:29][INFO] [Epoch 015] MSE Loss = 391.766472 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:23:31][INFO] [Epoch 016] MSE Loss = 345.031813 | PDE LOSS = 79.258110 |  LR = 5.00e-03
[2026-01-26 19:27:37][INFO] [Epoch 017] MSE Loss = 336.518217 | PDE LOSS = 71.929527 |  LR = 5.00e-03
[2026-01-26 19:31:38][INFO] [Epoch 018] MSE Loss = 354.166961 | PDE LOSS = 58.016071 |  LR = 5.00e-03
[2026-01-26 19:35:40][INFO] [Epoch 019] MSE Loss = 329.071431 | PDE LOSS = 0.000000 |  LR = 5.00e-03
[2026-01-26 19:39:46][INFO] [Epoch 020] MSE Loss = 326.350875 | PDE LOSS = 65.411072 |  LR = 5.00e-03
